trial,subject,cadence_spm,n_steps,rot0_step_count_match,rot0_alternation_delta,rot1_step_count_match,rot1_alternation_delta,rot2_step_count_match,rot2_alternation_delta,max_rotation_cadence_delta_spm,cadence_at_25Hz,rel_err_at_25Hz,cadence_at_100Hz,rel_err_at_100Hz,cadence_at_200Hz,rel_err_at_200Hz
jog_9,1,163.4015069967707,257,True,0.0,True,0.0,True,0.0,0.0,163.36633663366337,0.0002152389151957799,163.39271298638394,5.381841666208739e-05,163.39271298638394,5.381841666208739e-05
jog_9,2,160.9547123623011,265,True,0.0,True,0.0,True,0.0,0.0,160.9547123623011,0.0,160.9547123623011,0.0,160.94240036716897,7.649353629624342e-05
jog_9,3,171.41036533559898,271,True,0.0,True,0.0,True,0.0,0.0,171.44678138942,0.0002124495432334601,171.43767592543415,0.00015932869509785347,171.40572951365755,2.704516691483671e-05
jog_9,4,149.11173672458983,260,True,0.0,True,0.0,True,0.0,0.0,149.09374390956927,0.00012066665854610377,149.03565166569257,0.0005102553331384808,149.03565166569257,0.0005102553331384808
jog_9,5,174.0,205,True,0.0,True,0.0,True,0.0,0.0,173.95029991431016,0.0002856326763783638,174.01242945924707,7.143367383375449e-05,174.0,0.0
jog_9,6,157.62834417932032,220,True,0.0,True,0.0,True,0.0,0.0,157.6283441793203,1.8030836762499423e-16,157.63784272371197,6.0259114191045597e-05,157.62359533636612,3.0126833970910833e-05
jog_9,7,164.92236917768832,243,True,0.0,True,0.0,True,0.0,0.0,164.96250852079075,0.0002433832554223027,164.93185347058485,5.750761975964704e-05,164.91762744026914,2.8751329748799327e-05
jog_9,8,162.3616236162362,224,True,0.0,True,0.0,True,0.0,0.0,162.32169208066898,0.00024594195769801785,162.36162361623613,3.501037843472493e-16,162.41772503939927,0.0003455337653908188
jog_9,9,157.18085106382975,199,True,0.0,True,0.0,True,0.0,0.0,157.22266560255386,0.00026602819898926877,157.37966846415023,0.0012648958125296129,157.3796684641502,0.0012648958125294322
jog_9,10,183.83404864091563,261,True,0.0,True,0.0,True,0.0,0.0,183.87789172430243,0.0002384927259717975,183.8669289930245,0.00017885888034314617,183.8724101952601,0.00020867491429407667
jog_9,11,159.52873746218756,171,True,0.0,True,0.0,True,0.0,0.0,159.54415954415953,9.667275136317072e-05,159.52873746218756,0.0,159.51603916262042,7.959882193738368e-05
jog_9,12,167.4544226873734,251,True,0.0,True,0.0,True,0.0,0.0,167.4544226873734,0.0,167.44500084397683,5.626512125135489e-05,167.42616033755274,0.00016877637130808214
jog_9,13,164.81537075953165,186,True,0.0,True,0.0,True,0.0,0.0,164.53055141579733,0.0017281115373023604,164.50670462206907,0.0018727994606336173,164.5190290680252,0.0017980221756065643
jog_9,14,159.7469355476473,204,True,0.0,True,0.0,True,0.0,0.0,159.80057727630543,0.0003357919103376844,159.9369706519598,0.0011896009376393868,159.9317204477563,0.0011567351791477276
jog_9,15,166.49616368286442,219,True,0.0,True,0.0,True,0.0,0.0,166.58097686375322,0.000509400210868223,166.5174574753805,0.00012789359253126992,166.60774546038888,0.0006701762674664407
jog_9,16,157.11947626841243,244,True,0.0,True,0.0,True,0.0,0.0,157.06806282722513,0.0003272251308899591,156.90955455482612,0.0013360642395962112,157.0980499113596,0.00013636983499250172
jog_9,17,168.22429906542055,185,True,0.0,True,0.0,True,0.0,0.0,168.77897990726433,0.0032972694487380036,168.48083293894933,0.001524951359309976,168.4874778150266,0.0015644514559915515
jog_9,18,181.15791658020336,293,True,0.0,True,0.0,True,0.0,0.0,181.17451062057478,9.159986317279912e-05,181.12736168219436,0.00016866443700501189,181.13207547169813,0.0001426441029630217
